time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450350000	14.3999	20.5901	4.80105	2.76619	0.504368	radar	1.36075	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1579	20.6612	4.8071	2.79914	0.512248	lidar	0.834332	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9256	20.7293	4.8089	2.8367	0.539637	radar	0.377618	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.664	20.7854	4.82548	2.87288	0.547991	lidar	2.16444	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4209	20.8129	4.82572	2.9305	0.612703	radar	2.19642	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1739	20.8546	4.83129	2.96432	0.615553	lidar	0.262866	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9451	20.9123	4.82962	2.98467	0.599627	radar	1.74607	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7283	20.9653	4.81942	3.00543	0.590689	lidar	1.54163	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4847	21.0018	4.82518	3.03378	0.590761	radar	2.70996	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2393	21.0391	4.83292	3.05807	0.583827	lidar	0.326791	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0028	21.058	4.8316	3.08964	0.593111	radar	0.863452	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7527	21.0323	4.83082	3.13317	0.608839	lidar	1.754	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5082	21.018	4.83066	3.16845	0.613826	radar	1.05123	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2788	21.0175	4.82343	3.19499	0.610111	lidar	0.498061	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0296	20.9771	4.8266	3.23492	0.619987	radar	4.15289	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8034	20.945	4.81559	3.26826	0.624195	lidar	0.406761	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5557	20.9463	4.81758	3.2666	0.553212	radar	5.78755	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.294	20.9698	4.8398	3.27084	0.523086	lidar	3.74477	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0557	20.9511	4.83938	3.28949	0.512373	radar	0.996415	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83922	20.9202	4.82264	3.31275	0.511717	lidar	1.43	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59778	20.9158	4.81911	3.30436	0.4419	radar	2.11727	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38467	20.8694	4.80057	3.32949	0.447408	lidar	1.22698	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15505	20.8302	4.79719	3.35104	0.450588	radar	1.54607	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89009	20.7926	4.82086	3.36574	0.43934	lidar	1.86705	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66668	20.7143	4.81502	3.40124	0.462132	radar	4.57079	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41111	20.6267	4.83473	3.43184	0.468946	lidar	2.8296	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18317	20.5455	4.83531	3.46373	0.486309	radar	0.155532	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94584	20.4659	4.84239	3.48736	0.484844	lidar	0.195017	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72906	20.3783	4.84002	3.52455	0.518662	radar	3.53251	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.45441	20.3178	4.87524	3.53155	0.493027	lidar	4.32032	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.22874	20.2188	4.87656	3.55652	0.49164	radar	0.249465	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.97546	20.1387	4.89706	3.56859	0.474852	lidar	1.50573	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.7535	20.045	4.89457	3.58598	0.463876	radar	0.311476	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.50818	19.958	4.90986	3.59715	0.448195	lidar	0.954822	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.29258	19.8623	4.90509	3.6163	0.447992	radar	2.53867	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.03806	19.7735	4.92736	3.62247	0.426796	lidar	1.8978	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.82747	19.6231	4.93698	3.67143	0.480744	radar	2.6081	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.62402	19.506	4.92865	3.69308	0.4787	lidar	0.467835	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.42712	19.3543	4.92775	3.73033	0.50038	radar	1.63356	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.20267	19.2573	4.931	3.7353	0.476315	lidar	1.89843	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.99964	19.1451	4.91832	3.73978	0.439833	radar	4.0972	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.81553	18.9952	4.90904	3.76903	0.449402	lidar	0.328307	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.61621	18.8441	4.91578	3.79924	0.46874	radar	1.61615	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
