time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010526349642	169.096	31.3679	3.29146	0.520702	0.0971347	lidar	0.0874861	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.12	31.3733	3.27874	0.540205	0.131119	radar	0.165169	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.154	32.3361	3.29549	0.113299	-0.233733	lidar	0.77543	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.162	32.3344	3.21945	0.0918962	-0.276575	radar	0.158951	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.64	33.4538	3.19551	0.609276	0.24031	lidar	0.497163	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.626	33.4526	3.18711	0.62094	0.263618	radar	0.0614113	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.035	34.2163	3.01195	0.299289	-0.108657	lidar	0.622741	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.05	34.2172	2.92203	0.332476	-0.0396915	radar	0.302167	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.124	35.1372	3.01867	0.193223	-0.102618	lidar	1.05527	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	180.025	35.1176	2.91282	0.21734	-0.0866734	radar	2.48489	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.59	35.7496	2.95895	0.272	0.0056705	lidar	0.268934	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.505	35.7357	2.87588	0.290624	0.0399418	radar	1.81472	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.726	36.5136	2.90723	0.340347	0.0454339	lidar	0.0927617	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.729	36.5197	2.76813	0.433705	0.182556	radar	0.413784	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.939	36.9444	2.75805	0.0691576	-0.165116	lidar	0.257714	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187.007	36.9562	2.73923	0.0393601	-0.196887	radar	1.09615	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.453	37.3996	2.76324	0.320689	0.110357	lidar	0.431457	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.489	37.4118	2.67239	0.367267	0.186644	radar	0.541057	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.726	37.5677	2.65082	-0.115245	-0.237931	lidar	0.392622	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.703	37.5568	2.60019	-0.168592	-0.335808	radar	0.231446	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.476	37.274	2.53841	-0.264798	-0.187807	lidar	0.0983501	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
